model,attack,test_dataset,time,mean_time,mean_iterations,eps,iter,mean_psnr,mean_vmaf,clear_correct,attacked_success,target_success,num_total,metric_workers
c2d,bmtc_untarget_flip_adaptive,Kinetics400Dataset,1544.123,7.9001,10.0,16.0,10,33.142027654728416,92.40765309999998,20,1,0,30,1
videomaev2,bmtc_untarget_flip_adaptive,Kinetics400Dataset,1568.8946,7.8684,10.0,16.0,10,33.20611987834593,91.44451711111111,27,2,0,30,1
tanet,bmtc_untarget_flip_adaptive,Kinetics400Dataset,1553.6311,8.6427,10.0,16.0,10,33.25679196504213,92.30683599999999,16,0,0,30,1
r2plus1d,bmtc_untarget_flip_adaptive,Kinetics400Dataset,1561.8504,8.6264,10.0,16.0,10,33.24479972310341,93.30804184615386,13,0,0,30,1
uniformer,bmtc_untarget_flip_adaptive,Kinetics400Dataset,2577.0662,12.315,10.0,16.0,10,35.27764754750434,94.64048391304348,23,0,0,30,1
videoswin,bmtc_untarget_flip_adaptive,Kinetics400Dataset,2585.633,13.5747,10.0,16.0,10,35.26258537878348,94.042263,22,1,0,30,1
mvitv2,bmtc_untarget_flip_adaptive,Kinetics400Dataset,3166.0224,13.8163,10.0,16.0,10,36.23864903529404,95.20532762500001,24,1,0,30,1
internvideo,bmtc_untarget_flip_adaptive,Kinetics400Dataset,336.9737,3.3875,10.0,16.0,10,26.133785463079015,55.87592457142856,21,0,0,30,1
x3d,bmtc_untarget_flip_adaptive,Kinetics400Dataset,3129.3306,14.0728,10.0,16.0,10,36.20436916560523,95.56378363157894,19,0,0,30,1
internvideo2,bmtc_untarget_flip_adaptive,Kinetics400Dataset,358.9089,4.6367,10.0,16.0,10,26.16357520788865,56.244226344827595,29,1,0,30,1
umt,bmtc_untarget_flip_adaptive,Kinetics400Dataset,666.1879,0.0,0.0,16.0,10,0.0,0.0,0,0,0,30,1
csn,bmtc_untarget_flip_adaptive,Kinetics400Dataset,6127.3922,0.0,0.0,16.0,10,0.0,0.0,0,0,0,30,1
i3d,bmtc_untarget_flip_adaptive,Kinetics400Dataset,6268.0078,24.3032,10.0,16.0,10,39.22581922605288,96.78325564705882,17,0,0,30,1
i3dnonlocal,bmtc_untarget_flip_adaptive,Kinetics400Dataset,6302.584,22.7457,10.0,16.0,10,39.38972580818448,97.5012147,10,0,0,30,1
timesformer,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,172.3624,2.8518,10.0,16.0,10,26.03617393201232,70.01142969565217,23,2,0,30,1
tsmnonlocal,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,177.5062,3.0032,10.0,16.0,10,26.11187680856139,69.733216,16,8,0,30,1
ila,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,176.594,3.1194,10.0,16.0,10,26.062810399583352,71.05997145454545,22,5,0,30,1
tsm,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,345.084,3.8512,10.0,16.0,10,26.26461687077757,68.68645770588238,17,3,0,30,1
tsn,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,538.2863,4.1489,10.0,16.0,10,28.168466724969136,78.29011357894737,19,2,0,30,1
actionclip,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,638.7428,5.0623,10.0,16.0,10,29.21024299625095,77.00085514285716,21,0,0,30,1
uniformerv2,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,642.6919,4.9363,10.0,16.0,10,29.211763823012827,77.5964466521739,23,2,0,30,1
onepeace,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,630.9181,6.3986,10.0,16.0,10,29.207225621283428,82.44607726086956,23,1,0,30,1
amd,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,982.8857,6.1545,10.0,16.0,10,30.92775496578256,84.16905985714286,21,2,0,30,1
tadaformer,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,1313.8954,8.4034,10.0,16.0,10,32.24404464133422,88.2303662,25,2,0,30,1
slowonly,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,1577.5474,8.8233,10.0,16.0,10,33.22126672561884,92.36773833333332,18,4,0,30,1
videomae,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,1579.6474,9.0915,10.0,16.0,10,33.198198850691554,92.27856905000002,20,0,0,30,1
tpn,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,1601.4246,9.1773,10.0,16.0,10,33.25694242334682,93.45828905263157,19,0,0,30,1
videomaev2,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,1593.499,8.5074,10.0,16.0,10,33.20555397121311,92.01773176000002,25,2,0,30,1
c2d,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,1597.5945,9.1958,10.0,16.0,10,33.1736265070826,93.27002266666665,18,1,0,30,1
r2plus1d,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,1607.5085,10.3204,10.0,16.0,10,33.38995316567367,93.1062409090909,11,1,0,30,1
tanet,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,1627.8936,9.3844,10.0,16.0,10,33.27056963456305,92.33545193333333,15,0,0,30,1
uniformer,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,2730.8425,16.0994,10.0,16.0,10,35.263411331321535,94.54060452000002,25,1,0,30,1
videoswin,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,2575.847,13.8002,10.0,16.0,10,35.23289797443877,94.63270845454545,22,0,0,30,1
mvitv2,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,3409.7831,15.342,10.0,16.0,10,36.251962156581165,95.30329545454546,22,0,0,30,1
internvideo,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,341.7112,3.3672,10.0,16.0,10,26.11910412767535,56.67700299999999,20,1,0,30,1
internvideo2,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,345.8309,4.5905,10.0,16.0,10,26.17847017200967,56.352141399999994,25,0,0,30,1
umt,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,635.1651,0.0,0.0,16.0,10,0.0,0.0,0,0,0,30,1
x3d,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,4998.3952,29.2086,10.0,16.0,10,36.238791996559634,95.62418576190476,21,0,0,30,1
csn,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,6223.726,12.6504,10.0,16.0,10,39.09403959077621,97.377693,1,0,0,30,1
i3dnonlocal,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,6321.0364,31.7472,10.0,16.0,10,39.395876566932806,97.75774928571427,7,3,0,30,1
i3d,bmtc_untarget_gaussian_blur_adaptive,Kinetics400Dataset,6347.9857,27.4966,10.0,16.0,10,39.16531603378626,97.65441516666667,18,1,0,30,1
timesformer,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,172.9833,2.8111,10.0,16.0,10,26.036129673313265,70.00960969565217,23,2,0,30,1
tsmnonlocal,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,177.1408,2.9253,10.0,16.0,10,26.113557938686053,69.90532047058822,17,16,0,30,1
tsm,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,342.8123,3.8977,10.0,16.0,10,26.248634715473806,70.0403211875,16,7,0,30,1
tsn,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,504.1984,4.1313,10.0,16.0,10,28.13198424641282,78.55491468181819,22,1,0,30,1
uniformerv2,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,635.5882,4.4374,10.0,16.0,10,29.209185943442453,77.23540688461537,26,0,0,30,1
actionclip,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,642.2142,4.6739,10.0,16.0,10,29.146157009402348,77.20119922727272,22,0,0,30,1
onepeace,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,630.8777,6.2695,10.0,16.0,10,29.213943559158405,82.58953486363636,22,0,0,30,1
amd,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,948.9016,5.9735,10.0,16.0,10,30.94514523729067,84.2903394090909,22,1,0,30,1
tadaformer,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,1246.681,8.203,10.0,16.0,10,32.24334021656727,88.22837675999999,25,0,0,30,1
slowonly,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,1550.6791,8.5691,10.0,16.0,10,33.20353273224506,92.15776229411765,17,2,0,30,1
videomae,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,1554.9844,8.2743,10.0,16.0,10,33.21345909191966,91.39830886956523,23,1,0,30,1
tpn,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,1567.0685,8.6257,10.0,16.0,10,33.287392108571005,92.69402078947365,19,1,0,30,1
videomaev2,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,1596.7705,8.3277,10.0,16.0,10,33.206139209659675,88.04271451851854,27,1,0,30,1
c2d,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,1578.0979,8.3942,10.0,16.0,10,33.16331875147781,92.5307088695652,23,2,0,30,1
r2plus1d,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,1564.4564,8.6385,10.0,16.0,10,33.24479851602435,93.30796661538463,13,0,0,30,1
tanet,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,1566.4132,8.9651,10.0,16.0,10,33.256763919797066,92.30674025,16,0,0,30,1
uniformer,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,2600.1961,12.1806,10.0,16.0,10,35.224765150408594,94.59065975,24,0,0,30,1
videoswin,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,2500.0724,12.5152,10.0,16.0,10,35.24870966793543,93.93514400000002,23,1,0,30,1
mvitv2,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,3266.137,13.9056,10.0,16.0,10,36.23863346431362,95.20521479166668,24,0,0,30,1
ila,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,171.6076,2.9565,10.0,16.0,10,26.063500271341326,70.8895423478261,23,6,0,30,1
x3d,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,3174.1625,13.8107,10.0,16.0,10,36.206900961253865,95.55385785,20,0,0,30,1
internvideo2,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,321.1438,4.4731,10.0,16.0,10,26.178384141128053,56.16054203571428,28,1,0,30,1
csn,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,6148.4104,12.5441,10.0,16.0,10,39.09391473108222,97.376373,1,1,0,30,1
umt,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,630.7031,0.0,0.0,16.0,10,0.0,0.0,0,0,0,30,1
i3dnonlocal,bmtc_untarget_no_defence_non-adaptive,Kinetics400Dataset,6450.6203,24.7789,10.0,16.0,10,39.32855540741289,97.5763731818182,11,0,0,30,1
actionclip,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,646.8349,4.6425,10.0,16.0,10,29.176826820321878,76.81895218181819,22,0,0,30,1
timesformer,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,176.0137,3.0906,10.0,16.0,10,26.106607451651165,69.79779945000001,20,4,0,30,1
tsmnonlocal,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,169.2252,2.9928,10.0,16.0,10,26.10350902857134,71.9650944375,16,10,0,30,1
ila,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,171.4655,2.9638,10.0,16.0,10,26.029447347921092,69.77165578947368,19,3,0,30,1
tsm,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,337.6053,3.5429,10.0,16.0,10,26.260874632957226,68.33394491666668,12,4,0,30,1
tsn,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,506.8278,4.2809,10.0,16.0,10,28.205278237673753,78.35202394117645,17,3,0,30,1
uniformerv2,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,665.5678,4.7681,10.0,16.0,10,29.2113803677744,77.33632779166666,24,2,0,30,1
onepeace,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,642.3029,6.3806,10.0,16.0,10,29.174178879257354,82.36777027272727,22,1,0,30,1
amd,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,968.142,5.954,10.0,16.0,10,30.926111610108332,84.16804752380952,21,1,0,30,1
tadaformer,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,1420.0995,8.8951,10.0,16.0,10,32.243342590009675,88.22834132,25,0,0,30,1
videomae,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,1578.7285,8.8515,10.0,16.0,10,33.2135016430726,91.39849973913044,23,1,0,30,1
slowonly,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,1597.8332,9.8002,10.0,16.0,10,33.271874328956706,92.00068585714287,14,4,0,30,1
tpn,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,1672.8499,8.5456,10.0,16.0,10,33.29060759828344,92.22246459999998,15,0,0,30,1
videomaev2,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,1762.2475,9.0607,10.0,16.0,10,33.20617358738753,91.44390270370371,27,1,0,30,1
c2d,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,1571.8791,8.2157,10.0,16.0,10,33.199112623481305,92.31197943749999,16,0,0,30,1
r2plus1d,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,1582.1482,7.7198,10.0,16.0,10,33.22678660743936,91.78312153846153,13,4,0,30,1
tanet,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,1608.2707,8.8139,10.0,16.0,10,33.27349420526009,92.21415518749998,16,1,0,30,1
uniformer,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,2538.5419,11.7886,10.0,16.0,10,35.26144516862922,94.56881225,24,0,0,30,1
videoswin,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,2554.4187,12.6157,10.0,16.0,10,35.23938119152391,93.76230161904762,21,0,0,30,1
mvitv2,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,3210.3435,14.5204,10.0,16.0,10,36.23676261375452,95.22103043478262,23,0,0,30,1
x3d,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,3212.9547,14.0952,10.0,16.0,10,36.224944159398014,95.51325516666667,18,1,0,30,1
internvideo,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,346.7736,3.294,10.0,16.0,10,26.133780387455978,55.87527057142857,21,1,0,30,1
internvideo2,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,349.5515,4.5426,10.0,16.0,10,26.16326774123283,56.241274379310354,29,2,0,30,1
umt,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,639.3535,0.0,0.0,16.0,10,0.0,0.0,0,0,0,30,1
csn,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,6731.3636,0.0,0.0,16.0,10,0.0,0.0,0,0,0,30,1
i3d,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,6921.8174,32.1251,10.0,16.0,10,39.23769186601721,96.71910537500001,16,0,0,30,1
i3dnonlocal,bmtc_untarget_rotate_adaptive,Kinetics400Dataset,6496.0807,41.2654,10.0,16.0,10,39.46298534741904,97.656858,3,0,0,30,1
timesformer,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,175.685,2.9158,10.0,16.0,10,26.087280017053672,70.57748652380954,21,1,0,30,1
tsmnonlocal,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,173.5892,2.9106,10.0,16.0,10,26.133747652384347,70.28402961111111,18,18,0,30,1
ila,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,173.2751,3.0686,10.0,16.0,10,26.0634877718151,70.88967408695652,23,6,0,30,1
tsm,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,348.5461,3.9095,10.0,16.0,10,26.248636336268557,70.040485375,16,7,0,30,1
tsn,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,537.3987,4.2716,10.0,16.0,10,28.132080439319704,78.55554336363637,22,1,0,30,1
actionclip,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,640.1809,4.6224,10.0,16.0,10,29.16624049873898,77.33185513043477,23,0,0,30,1
uniformerv2,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,640.1228,4.6515,10.0,16.0,10,29.20919397557733,77.23647365384615,26,1,0,30,1
onepeace,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,645.4832,6.4179,10.0,16.0,10,29.207035019565684,82.44513334782607,23,1,0,30,1
amd,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,974.6488,6.1954,10.0,16.0,10,30.941518979397056,84.37415363157895,19,0,0,30,1
tadaformer,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,1284.6317,8.2636,10.0,16.0,10,32.24583925001775,88.14075115384617,26,1,0,30,1
slowonly,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,1574.7519,8.8841,10.0,16.0,10,33.203516980549054,92.15765870588234,17,1,0,30,1
videomae,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,1573.9709,8.8844,10.0,16.0,10,33.229879403268754,91.70688081818182,22,2,0,30,1
tpn,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,1576.6137,8.5044,10.0,16.0,10,33.28740967957894,92.69405263157894,19,1,0,30,1
videomaev2,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,1571.3704,8.4748,10.0,16.0,10,33.20762004409368,91.47835303846156,26,0,0,30,1
c2d,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,1622.0841,8.4972,10.0,16.0,10,33.169065823960004,92.41108299999999,20,3,0,30,1
r2plus1d,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,1584.9476,8.5365,10.0,16.0,10,33.24475841688827,93.3079446923077,13,1,0,30,1
tanet,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,1584.9251,8.9847,10.0,16.0,10,33.25682566192858,92.306897,16,0,0,30,1
uniformer,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,2570.0438,12.1445,10.0,16.0,10,35.22806513721689,94.56168996000001,25,1,0,30,1
videoswin,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,2670.0718,13.2321,10.0,16.0,10,35.2739509510417,93.96416185714286,21,0,0,30,1
mvitv2,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,3216.8239,14.296,10.0,16.0,10,36.26408795565747,95.19273064,25,1,0,30,1
x3d,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,3394.4866,14.601,10.0,16.0,10,36.20691138642705,95.55445244999999,20,0,0,30,1
internvideo,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,362.1224,3.8788,10.0,16.0,10,26.146857090461033,55.626027949999994,20,1,0,30,1
internvideo2,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,346.9821,4.4716,10.0,16.0,10,26.16414682560888,56.24961675862069,29,1,0,30,1
umt,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,650.1277,0.0,0.0,16.0,10,0.0,0.0,0,0,0,30,1
csn,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,6223.3715,12.0518,10.0,16.0,10,39.09403959077621,97.377693,1,0,0,30,1
i3d,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,6325.0063,25.786,10.0,16.0,10,39.2258575787597,96.78327735294117,17,0,0,30,1
i3dnonlocal,bmtc_untarget_shuffle_adaptive,Kinetics400Dataset,6351.3076,24.3403,10.0,16.0,10,39.364721205992254,97.37709622222222,9,0,0,30,1
tsmnonlocal,bmtc_untarget_temporal_median_adaptive,Kinetics400Dataset,172.155,2.9957,10.0,16.0,10,26.133836687955423,70.28341766666668,18,17,0,30,1
ila,bmtc_untarget_temporal_median_adaptive,Kinetics400Dataset,170.0503,3.025,10.0,16.0,10,26.06347451472102,70.89090052173914,23,6,0,30,1
tsm,bmtc_untarget_temporal_median_adaptive,Kinetics400Dataset,359.4183,3.9456,10.0,16.0,10,26.24862961001179,70.04037806250001,16,7,0,30,1
tsn,bmtc_untarget_temporal_median_adaptive,Kinetics400Dataset,540.8441,4.3473,10.0,16.0,10,28.132003414713015,78.55510645454545,22,1,0,30,1
uniformerv2,bmtc_untarget_temporal_median_adaptive,Kinetics400Dataset,637.8351,5.1316,10.0,16.0,10,29.209174730798118,77.23564526923076,26,0,0,30,1
onepeace,bmtc_untarget_temporal_median_adaptive,Kinetics400Dataset,640.9045,6.7567,10.0,16.0,10,29.191458781308445,81.98684619999999,20,0,0,30,1
amd,bmtc_untarget_temporal_median_adaptive,Kinetics400Dataset,962.3127,6.8619,10.0,16.0,10,30.930043040475503,84.23596465,20,0,0,30,1
tadaformer,bmtc_untarget_temporal_median_adaptive,Kinetics400Dataset,1256.5652,9.5854,10.0,16.0,10,32.22799891455613,88.15583249999999,24,0,0,30,1
videomae,bmtc_untarget_temporal_median_adaptive,Kinetics400Dataset,1603.9157,10.1626,10.0,16.0,10,33.17191630736601,91.3426675,18,0,0,30,1
slowonly,bmtc_untarget_temporal_median_adaptive,Kinetics400Dataset,1618.2008,11.4619,10.0,16.0,10,33.253085841154565,92.01410125000001,12,3,0,30,1
tpn,bmtc_untarget_temporal_median_adaptive,Kinetics400Dataset,1607.4809,10.2103,10.0,16.0,10,33.188163222466606,92.27979176470588,17,1,0,30,1
c2d,bmtc_untarget_temporal_median_adaptive,Kinetics400Dataset,1587.6439,9.5174,10.0,16.0,10,33.12892967143052,92.29358819999997,20,2,0,30,1
videomaev2,bmtc_untarget_temporal_median_adaptive,Kinetics400Dataset,1623.6756,9.7731,10.0,16.0,10,33.19246312046253,91.37759048000002,25,0,0,30,1
r2plus1d,bmtc_untarget_temporal_median_adaptive,Kinetics400Dataset,1582.706,9.9425,10.0,16.0,10,33.22578561108648,91.58817190909092,11,1,0,30,1
