model,attack,test_dataset,time,mean_time,mean_iterations,eps,iter,mean_psnr,mean_vmaf,clear_correct,attacked_success,target_success,num_total,metric_workers
internvideo2,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,4257.2418,43.4069,16.39,8.0,20,33.907003424575,93.0190597529411,85,56,49,100,12
umt,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,4755.5751,0.0,0.0,8.0,20,0.0,0.0,0,0,0,100,12
tsn,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,528.625,4.7843,17.0,8.0,20,34.33969997922499,97.96332075757577,66,46,44,100,12
uniformerv2,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,732.2735,6.7456,12.28,8.0,20,32.286409294522294,88.79530297701147,87,82,81,100,12
tsm,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,845.7765,7.9663,14.04,8.0,20,32.48184057575371,95.67392619117646,68,51,49,100,12
amd,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,832.6128,7.6647,5.9,8.0,20,35.85616942464427,91.1026743,80,80,80,100,12
videomae,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,1013.0448,9.0065,5.95,8.0,20,35.59061929395327,94.67291013253009,83,83,83,100,12
slowonly,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,2823.9916,27.3152,20.0,8.0,20,33.637427531854925,99.26481058139534,43,1,0,100,12
onepeace,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,3484.404,34.0479,9.63,8.0,20,35.35912730417736,97.50070546666667,75,65,65,100,12
tadaformer,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,4032.5602,39.6637,18.41,8.0,20,30.81995412636248,81.34290634117646,85,70,70,100,12
tpn,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,1407.606,12.9632,11.94,8.0,20,33.08276869125164,93.57722622535213,71,57,57,100,12
videomaev2,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,1328.2543,12.1982,9.88,8.0,20,33.052709162176356,90.96421087640448,89,89,89,100,12
c2d,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,1245.1078,11.4029,12.51,8.0,20,32.13467274604765,93.97996265789469,76,73,73,100,12
r2plus1d,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,1364.9141,12.6582,11.1,8.0,20,32.02106348552763,92.71943641176472,51,51,51,100,12
tanet,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,1727.1882,16.497,12.8,8.0,20,32.06441988488016,92.70870676811593,69,62,60,100,12
timesformer,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,384.1091,3.4067,12.62,8.0,20,32.51544266988772,93.02968947435897,78,64,63,100,12
actionclip,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,1281.1234,11.96,20.0,8.0,20,34.06695328753984,92.63005894117644,68,68,68,100,12
uniformer,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,1848.2639,16.7287,8.69,8.0,20,35.18611778746375,95.61669195180725,83,83,83,100,12
tsmnonlocal,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,940.7824,8.873,16.68,8.0,20,31.13619933128856,94.54496240909096,66,59,57,100,12
x3d,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,1857.1235,17.9848,11.18,8.0,20,33.9851563304843,94.07787724324326,74,65,64,100,12
mvitv2,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,2256.0953,19.9924,6.21,8.0,20,37.639511254983795,95.39043739506175,81,81,81,100,12
videoswin,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,3920.5622,37.8876,14.63,8.0,20,32.036914522826564,90.97191672289155,83,68,66,100,12
i3d,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,3700.7205,28.7106,10.15,8.0,20,32.93783673872386,87.71286683783782,74,72,72,100,12
internvideo,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,294.2195,2.1798,3.67,8.0,20,41.13891199660019,95.97799636842103,76,76,76,100,12
i3dnonlocal,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,3195.6599,28.1965,11.61,8.0,20,32.24370459196094,85.75001239393943,33,33,33,100,12
csn,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,3857.0587,74.354,20.0,8.0,20,0.0,99.922403,2,0,0,100,12
internvideo2,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,2120.9041,20.7399,8.9,8.0,20,35.922601132181626,93.77483874712645,87,87,87,100,12
slowfast,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,3443.2729,29.9943,10.5,8.0,20,33.38061147316091,83.63318553333335,60,53,53,100,12
umt,amifgsm_target_diff_jpeg_adaptive,Kinetics400Dataset,3179.314,0.0,0.0,8.0,20,0.0,0.0,0,0,0,100,12
timesformer,amifgsm_target_flip_adaptive,Kinetics400Dataset,229.2105,1.8313,11.71,8.0,20,34.92834724636485,95.83649636708866,79,64,62,100,12
tsmnonlocal,amifgsm_target_flip_adaptive,Kinetics400Dataset,560.6803,5.0989,13.0,8.0,20,33.93865649227476,97.11002465714283,70,64,64,100,12
ila,amifgsm_target_flip_adaptive,Kinetics400Dataset,676.0659,6.5109,16.57,8.0,20,33.07287290348598,96.46343492592595,81,73,73,100,12
tsm,amifgsm_target_flip_adaptive,Kinetics400Dataset,706.9897,6.7723,13.23,8.0,20,34.89439040127701,97.7576404923077,65,46,46,100,12
tsn,amifgsm_target_flip_adaptive,Kinetics400Dataset,397.5549,3.3738,17.02,8.0,20,35.807649436530575,98.88927198484853,66,50,49,100,12
uniformerv2,amifgsm_target_flip_adaptive,Kinetics400Dataset,505.6222,4.2511,8.09,8.0,20,36.38704016201301,86.46017039962896,89,87,87,100,12
amd,amifgsm_target_flip_adaptive,Kinetics400Dataset,492.1962,3.6254,4.23,8.0,20,40.00295601256701,95.25925848101261,79,79,79,100,12
videomae,amifgsm_target_flip_adaptive,Kinetics400Dataset,673.8339,4.2352,4.0,8.0,20,40.164700789576514,97.79514063095237,84,84,84,100,12
onepeace,amifgsm_target_flip_adaptive,Kinetics400Dataset,2238.5051,22.6963,7.99,8.0,20,38.36012134707299,89.30546787252551,74,64,64,100,12
tadaformer,amifgsm_target_flip_adaptive,Kinetics400Dataset,2639.0343,25.8635,17.44,8.0,20,32.754140073009374,85.12276775862072,87,77,77,100,12
slowonly,amifgsm_target_flip_adaptive,Kinetics400Dataset,2591.9819,24.7679,20.0,8.0,20,34.52614680221795,95.2645676333618,43,1,1,100,12
tpn,amifgsm_target_flip_adaptive,Kinetics400Dataset,900.3631,8.7478,10.27,8.0,20,36.46490968924655,97.6195811369863,73,56,56,100,12
videomaev2,amifgsm_target_flip_adaptive,Kinetics400Dataset,1033.4657,7.3236,7.07,8.0,20,36.916831578879105,92.08974163620168,91,91,91,100,12
c2d,amifgsm_target_flip_adaptive,Kinetics400Dataset,692.9261,4.6591,7.24,8.0,20,36.56861692521875,97.99944129729732,74,71,71,100,12
r2plus1d,amifgsm_target_flip_adaptive,Kinetics400Dataset,905.3959,7.9688,11.61,8.0,20,33.36763206454977,93.59458498245614,57,56,55,100,12
uniformer,amifgsm_target_flip_adaptive,Kinetics400Dataset,1057.4951,7.7711,8.37,8.0,20,38.264468128504205,98.14472549382715,81,81,81,100,12
tanet,amifgsm_target_flip_adaptive,Kinetics400Dataset,1415.9206,13.6537,13.98,8.0,20,33.67062294607653,95.75496781818181,66,60,57,100,12
mvitv2,amifgsm_target_flip_adaptive,Kinetics400Dataset,1777.175,7.8428,4.84,8.0,20,41.059489498535434,95.8646371230682,82,82,82,100,12
videoswin,amifgsm_target_flip_adaptive,Kinetics400Dataset,1884.4828,30.0582,13.66,8.0,20,34.45092466272096,94.26699729367415,80,69,65,100,12
actionclip,amifgsm_target_flip_adaptive,Kinetics400Dataset,445.6048,3.769,20.0,8.0,20,35.61364464984071,95.36251711764704,68,68,68,100,12
x3d,amifgsm_target_flip_adaptive,Kinetics400Dataset,2193.5549,21.6925,8.66,8.0,20,37.44778286820491,97.46627176712333,73,64,64,100,12
i3d,amifgsm_target_flip_adaptive,Kinetics400Dataset,2876.8485,17.0033,7.81,8.0,20,35.79908257443394,92.51631672222226,72,70,70,100,12
csn,amifgsm_target_flip_adaptive,Kinetics400Dataset,4079.4166,64.7004,20.0,8.0,20,0.0,99.145178,2,0,0,100,12
internvideo,amifgsm_target_flip_adaptive,Kinetics400Dataset,277.4933,1.2191,3.29,8.0,20,44.09579886027509,97.15327492105267,76,76,76,100,12
i3dnonlocal,amifgsm_target_flip_adaptive,Kinetics400Dataset,2892.3626,15.6307,8.88,8.0,20,34.59377065917033,91.5351761764706,34,34,34,100,12
internvideo2,amifgsm_target_flip_adaptive,Kinetics400Dataset,1849.0168,17.6287,7.19,8.0,20,38.82085159030041,96.63888301136362,88,87,87,100,12
slowfast,amifgsm_target_flip_adaptive,Kinetics400Dataset,2961.1198,21.8688,10.66,8.0,20,34.93146267709482,84.98098881967215,61,53,52,100,12
umt,amifgsm_target_flip_adaptive,Kinetics400Dataset,2043.4032,0.0,0.0,8.0,20,0.0,0.0,0,0,0,100,12
timesformer,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,331.1528,2.9404,13.79,8.0,20,31.76381175291909,69.60948191233321,73,65,63,100,12
tsmnonlocal,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,749.5487,7.0629,17.51,8.0,20,30.946853305086254,86.5277465263158,57,52,50,100,12
ila,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,793.2771,7.5411,18.68,8.0,20,31.03950086278327,90.38607502597401,77,61,61,100,12
tsm,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,900.4824,8.1177,14.67,8.0,20,32.00304754674675,88.94443059649119,57,47,42,100,12
tsn,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,663.6006,6.0508,19.37,8.0,20,33.91361173715504,94.15041593650793,63,41,30,100,12
uniformerv2,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,959.2321,8.7439,14.12,8.0,20,31.57325527589365,79.93459090123459,81,75,73,100,12
amd,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,1105.0661,10.2594,7.16,8.0,20,34.64319312385223,78.39238629226593,69,67,66,100,12
slowonly,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,1080.3883,29.763,18.63,8.0,20,32.71651669134886,93.4561135,38,9,2,100,12
tadaformer,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,3564.6418,34.9719,19.89,8.0,20,30.918449901524397,76.3739841219512,82,46,42,100,12
videomae,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,1489.3019,13.6792,7.43,8.0,20,34.85922929743013,88.54954586585364,82,79,78,100,12
onepeace,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,3932.8222,38.5094,13.49,8.0,20,34.25095578523275,95.11525332835818,67,60,38,100,12
tpn,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,1912.3379,18.2569,13.67,8.0,20,32.17346129249992,84.8796752833333,60,50,46,100,12
videomaev2,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,2020.8115,19.5246,11.8,8.0,20,32.19954400511248,80.23747399012498,85,79,77,100,12
r2plus1d,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,1782.0927,16.6056,13.61,8.0,20,31.77909734929351,81.56589359090911,44,44,38,100,12
c2d,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,1870.5147,17.8131,14.68,8.0,20,31.52734964033966,84.31944343629418,62,61,60,100,12
tanet,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,2230.1658,21.3754,14.44,8.0,20,31.500872905002968,83.5015483220339,59,51,48,100,12
uniformer,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,2644.7447,25.1758,13.77,8.0,20,33.86733474813325,89.62829059493671,79,73,71,100,12
mvitv2,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,2646.029,24.915,8.19,8.0,20,35.916165736626795,89.13095596103899,77,75,74,100,12
videoswin,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,4836.7776,47.9148,15.03,8.0,20,31.551679364624064,81.62361837179488,78,64,56,100,12
actionclip,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,768.6895,7.0723,20.0,8.0,20,34.44633054505929,88.13666283333333,66,66,66,100,12
internvideo2,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,3716.7672,37.4673,12.85,8.0,20,34.79253885197238,88.8645850625,80,59,53,100,12
umt,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,3943.6357,0.0,0.0,8.0,20,0.0,0.0,0,0,0,100,12
x3d,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,3423.6315,33.9103,11.78,8.0,20,32.84797540665044,84.5654204637681,69,64,62,100,12
internvideo,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,342.3956,2.6776,4.99,8.0,20,39.23979722079049,92.58479094285714,70,69,61,100,12
i3d,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,6572.1036,67.0146,13.63,8.0,20,32.006882021813375,76.21666482539682,63,63,62,100,12
csn,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,5817.8408,94.366,20.0,8.0,20,0.0,99.081143,2,1,0,100,12
slowfast,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,7065.1042,70.5256,13.45,8.0,20,32.33053618265608,72.30166439285713,56,52,52,100,12
i3dnonlocal,amifgsm_target_gaussian_blur_adaptive,Kinetics400Dataset,7278.7648,76.5732,13.88,8.0,20,31.7325166847197,77.11105867999999,25,25,23,100,12
timesformer,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,228.5196,1.79,11.29,8.0,20,35.088879085011406,95.86143268354431,79,68,66,100,12
tsmnonlocal,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,582.9948,5.2042,13.31,8.0,20,33.87518484417972,97.40082095384614,65,55,55,100,12
tsm,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,656.8527,6.1934,12.1,8.0,20,35.44081926317168,97.83183013432837,67,51,51,100,12
ila,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,683.9938,6.5795,16.46,8.0,20,33.15008131105682,97.68642245121951,82,73,73,100,12
tsn,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,371.938,3.1011,16.9,8.0,20,36.03342963343757,98.67454097222223,72,55,51,100,12
uniformerv2,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,428.8397,3.6591,7.89,8.0,20,36.643245471167205,95.00102529545455,88,86,85,100,12
amd,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,489.7703,3.3652,3.85,8.0,20,40.48508775448306,95.69466702499997,80,80,80,100,12
onepeace,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,2190.0534,22.1102,7.77,8.0,20,38.28419396698824,98.95012963013697,73,65,65,100,12
videomae,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,673.0375,4.3322,4.27,8.0,20,39.90889349654479,97.64499645238095,84,84,84,100,12
tadaformer,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,2642.7847,25.9754,17.62,8.0,20,32.86262429839263,86.62991894117647,85,74,74,100,12
slowonly,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,2509.2162,24.1444,20.0,8.0,20,34.94750901593554,99.34294172093021,43,0,0,100,12
tpn,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,897.7932,8.3151,9.73,8.0,20,36.78963448114718,97.4803869154929,71,57,57,100,12
c2d,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,719.0905,4.7611,7.42,8.0,20,36.50333981221998,97.98126654545452,77,75,75,100,12
videomaev2,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,776.1013,6.578,7.02,8.0,20,36.78879754837391,94.47842305555554,90,90,90,100,12
r2plus1d,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,857.0455,7.5524,11.08,8.0,20,33.1916473894922,95.14956615384615,52,52,52,100,12
tanet,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,1416.682,13.4478,13.87,8.0,20,33.25502752605227,95.2568489852941,68,63,63,100,12
uniformer,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,1038.8532,8.0679,8.99,8.0,20,37.77425544650615,96.71048218518514,81,81,81,100,12
mvitv2,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,1260.7906,6.6527,5.28,8.0,20,40.58576899545663,94.7645628765432,81,81,81,100,12
videoswin,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,3005.4131,29.2667,13.77,8.0,20,34.571285883745134,94.68593497530868,81,69,68,100,12
actionclip,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,436.9717,3.6491,20.0,8.0,20,35.587575967385305,95.25549353731346,67,67,67,100,12
internvideo,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,272.1329,1.6958,3.23,8.0,20,44.421609318185034,97.22742618666662,75,75,75,100,12
umt,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,2047.455,0.0,0.0,8.0,20,0.0,0.0,0,0,0,100,12
internvideo2,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,2272.9174,21.1657,6.89,8.0,20,38.917653914515135,96.71199087356327,87,87,87,100,12
x3d,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,2424.2844,22.523,8.18,8.0,20,37.75005115163702,97.51341477027032,74,65,65,100,12
i3d,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,3225.5942,17.7992,7.95,8.0,20,35.82549179603425,92.75304130666663,75,73,73,100,12
i3dnonlocal,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,3332.2006,24.5982,9.55,8.0,20,34.30625545586651,90.58268375757578,33,33,33,100,12
slowfast,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,3884.5858,31.5915,9.45,8.0,20,35.641046510602585,85.87623646666665,60,53,52,100,12
csn,amifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,4226.4054,75.8785,20.0,8.0,20,0.0,99.922403,2,0,0,100,12
timesformer,amifgsm_target_rotate_adaptive,Kinetics400Dataset,297.3137,2.5697,16.24,8.0,20,31.760813776509753,92.33317788571429,70,55,29,100,12
tsmnonlocal,amifgsm_target_rotate_adaptive,Kinetics400Dataset,793.5534,7.6346,19.56,8.0,20,30.896391907459368,94.89183477192987,57,40,22,100,12
ila,amifgsm_target_rotate_adaptive,Kinetics400Dataset,803.0663,7.674,19.58,8.0,20,31.153126940874948,96.59709412328769,73,37,29,100,12
tsm,amifgsm_target_rotate_adaptive,Kinetics400Dataset,1034.9613,10.0368,19.45,8.0,20,30.998743485540206,94.04355965454546,55,36,23,100,12
tsn,amifgsm_target_rotate_adaptive,Kinetics400Dataset,462.7601,4.0878,20.0,8.0,20,32.71200562642193,96.59125024242421,66,29,7,100,12
uniformerv2,amifgsm_target_rotate_adaptive,Kinetics400Dataset,824.0057,7.7015,18.57,8.0,20,31.110531102266314,87.47481178160919,87,68,53,100,12
amd,amifgsm_target_rotate_adaptive,Kinetics400Dataset,1025.6261,9.4687,15.51,8.0,20,31.606489738746458,80.39895462458884,77,65,63,100,12
slowonly,amifgsm_target_rotate_adaptive,Kinetics400Dataset,2517.9164,24.337,20.0,8.0,20,32.885320304014265,98.3756179722222,36,6,0,100,12
tadaformer,amifgsm_target_rotate_adaptive,Kinetics400Dataset,3110.8475,30.2464,19.98,8.0,20,31.1551876702571,83.42778125882357,85,25,7,100,12
videomae,amifgsm_target_rotate_adaptive,Kinetics400Dataset,1664.8089,15.7019,16.75,8.0,20,31.606826325396256,90.59629409638553,83,68,56,100,12
onepeace,amifgsm_target_rotate_adaptive,Kinetics400Dataset,5633.6684,55.8619,19.99,8.0,20,32.150031126664366,96.82297050724641,69,36,0,100,12
tpn,amifgsm_target_rotate_adaptive,Kinetics400Dataset,1666.512,16.1096,18.81,8.0,20,30.965526674719527,90.62665826470585,68,49,32,100,12
videomaev2,amifgsm_target_rotate_adaptive,Kinetics400Dataset,1806.794,17.1667,18.34,8.0,20,31.25869653010207,88.26490792307689,91,65,56,100,12
c2d,amifgsm_target_rotate_adaptive,Kinetics400Dataset,1319.2499,12.4395,18.84,8.0,20,31.0370440139719,93.58939168115946,69,50,42,100,12
r2plus1d,amifgsm_target_rotate_adaptive,Kinetics400Dataset,1476.5117,13.6029,19.21,8.0,20,31.227719648319844,88.68464237812147,48,47,23,100,12
tanet,amifgsm_target_rotate_adaptive,Kinetics400Dataset,1939.2448,18.7811,19.39,8.0,20,31.28272753985692,91.38706129508195,61,39,21,100,12
uniformer,amifgsm_target_rotate_adaptive,Kinetics400Dataset,1759.4494,16.3868,18.93,8.0,20,32.19395481833661,92.87072445000001,80,58,44,100,12
mvitv2,amifgsm_target_rotate_adaptive,Kinetics400Dataset,1980.4127,18.1903,17.38,8.0,20,32.32651316744308,87.56388960759496,79,58,52,100,12
videoswin,amifgsm_target_rotate_adaptive,Kinetics400Dataset,4147.2057,40.327,18.97,8.0,20,31.019683748322684,92.45445326315789,76,43,27,100,12
actionclip,amifgsm_target_rotate_adaptive,Kinetics400Dataset,482.7965,4.1696,20.0,8.0,20,33.19527567754424,92.12753573529415,68,58,35,100,12
internvideo,amifgsm_target_rotate_adaptive,Kinetics400Dataset,287.5316,2.0498,16.11,8.0,20,32.90638746814107,88.40129844285715,70,49,22,100,12
x3d,amifgsm_target_rotate_adaptive,Kinetics400Dataset,2961.9661,28.4831,18.41,8.0,20,31.18189328730215,89.90326980882352,68,51,35,100,12
slowfast,amifgsm_target_rotate_adaptive,Kinetics400Dataset,3666.3714,35.0221,18.94,8.0,20,30.974328210398497,71.12014116000002,50,39,33,100,12
i3d,amifgsm_target_rotate_adaptive,Kinetics400Dataset,2787.0169,24.1569,18.65,8.0,20,31.195891257768828,82.92905280303032,66,56,53,100,12
i3dnonlocal,amifgsm_target_rotate_adaptive,Kinetics400Dataset,3033.4864,29.4869,19.67,8.0,20,31.41808752935925,83.44608157142856,21,21,13,100,12
internvideo2,amifgsm_target_rotate_adaptive,Kinetics400Dataset,4064.2245,40.1898,18.8,8.0,20,32.4765830456159,90.8926081954023,87,44,24,100,12
csn,amifgsm_target_rotate_adaptive,Kinetics400Dataset,3901.8888,67.1421,20.0,8.0,20,0.0,99.382908,3,2,0,100,12
umt,amifgsm_target_rotate_adaptive,Kinetics400Dataset,4740.2863,0.0,0.0,8.0,20,0.0,0.0,0,0,0,100,12
timesformer,amifgsm_target_shuffle_adaptive,Kinetics400Dataset,251.8701,1.9717,11.58,8.0,20,35.59134639418115,74.03128995729531,74,66,65,100,12
ila,amifgsm_target_shuffle_adaptive,Kinetics400Dataset,682.6488,6.5676,16.46,8.0,20,33.14962624965315,97.6870649390244,82,73,73,100,12
tsm,amifgsm_target_shuffle_adaptive,Kinetics400Dataset,672.1584,6.2804,12.1,8.0,20,35.44089912357286,96.49353491044776,67,51,51,100,12
tsn,amifgsm_target_shuffle_adaptive,Kinetics400Dataset,477.5638,4.1635,16.9,8.0,20,36.03259030103657,97.28721872222224,72,55,51,100,12
